Exercise,Set,Rep,Weight,Metric,Set RPE,Tags,Workout Start Time,Rest Time,Concentric Avg Velocity (m/s),Concentric Range of Motion (mm),Concentric Peak Velocity (m/s),Concentric Peak Velocity Location (%),Concentric Duration of rep (sec),Concentric Force,Concentric Force Loc,Concentric Power,Concentric Power Loc,Concentric Work,Concentric Work Loc,Eccentric Avg Velocity (m/s),Eccentric Range of Motion (mm),Eccentric Peak Velocity (m/s),Eccentric Peak Velocity Location (%),Eccentric Duration of rep (sec),Eccentric Force,Eccentric Force Loc,Eccentric Power,Eccentric Power Loc,Eccentric Work,Eccentric Work Loc,
null,1,1,null,"kgs","","","13/04/2024, 14:18:37","00:09:58.4",0.55,606,0.85,467,1.104,,,,,,,,,,,,,,,,,,
null,1,2,null,"kgs","","","13/04/2024, 14:18:37","00:09:58.4",0.57,636,0.83,498,1.113,,,,,,,,,,,,,,,,,,
null,1,3,null,"kgs","","","13/04/2024, 14:18:37","00:09:58.4",0.56,643,0.76,502,1.157,,,,,,,,,,,,,,,,,,
null,1,4,null,"kgs","","","13/04/2024, 14:18:37","00:09:58.4",0.57,656,0.83,525,1.155,,,,,,,,,,,,,,,,,,
null,1,5,null,"kgs","","","13/04/2024, 14:18:37","00:09:58.4",0.42,137,0.61,110,0.322,,,,,,,,,,,,,,,,,,
"bench",1,1,"120","kgs","","warmup,primary","13/04/2024, 14:18:37","00:18:32.8",0.25,216,0.45,160,0.857,,,,,,,,,,,,,,,,,,
"bench",1,2,"120","kgs","","warmup,primary","13/04/2024, 14:18:37","00:18:32.8",0.23,262,0.45,147,1.163,,,,,,,,,,,,,,,,,,
null,1,1,null,"kgs","","","13/04/2024, 14:18:37","00:02:52.3",0.24,247,0.41,205,1.034,,,,,,,,,,,,,,,,,,
null,1,2,null,"kgs","","","13/04/2024, 14:18:37","00:02:52.3",0.20,242,0.39,189,1.202,,,,,,,,,,,,,,,,,,
"bench",1,1,"152.5","kgs","6","primary,topset","13/04/2024, 14:18:37","00:04:11.9",0.19,227,0.31,183,1.204,,,,,,,,,,,,,,,,,,
"bench",2,1,"120","kgs","","primary,backdown","13/04/2024, 14:18:37","00:04:36.5",0.23,232,0.45,165,0.988,,,,,,,,,,,,,,,,,,
"bench",2,2,"120","kgs","","primary,backdown","13/04/2024, 14:18:37","00:04:36.5",0.30,253,0.48,200,0.838,,,,,,,,,,,,,,,,,,
"bench",2,3,"120","kgs","","primary,backdown","13/04/2024, 14:18:37","00:04:36.5",0.29,231,0.46,170,0.791,,,,,,,,,,,,,,,,,,
"bench",2,4,"120","kgs","","primary,backdown","13/04/2024, 14:18:37","00:04:36.5",0.27,216,0.43,153,0.801,,,,,,,,,,,,,,,,,,
"tempo bench",1,1,"115","lbs","","tertiary,topset","16/04/2024, 13:20:22","00:00:00",0.28,202,0.41,120,0.734,,,,,,,,,,,,,,,,,,
"tempo bench",1,2,"115","lbs","","tertiary,topset","16/04/2024, 13:20:22","00:00:00",0.33,225,0.51,124,0.681,,,,,,,,,,,,,,,,,,
"tempo bench",1,3,"115","lbs","","tertiary,topset","16/04/2024, 13:20:22","00:00:00",0.30,231,0.46,137,0.772,,,,,,,,,,,,,,,,,,
"tempo bench",1,4,"115","lbs","","tertiary,topset","16/04/2024, 13:20:22","00:00:00",0.34,239,0.48,131,0.697,,,,,,,,,,,,,,,,,,
"tempo bench",2,1,"115","kgs","","secondary,topset","16/04/2024, 13:20:22","00:04:34.7",0.31,205,0.51,136,0.653,,,,,,,,,,,,,,,,,,
"tempo bench",2,2,"115","kgs","","secondary,topset","16/04/2024, 13:20:22","00:04:34.7",0.31,214,0.51,136,0.686,,,,,,,,,,,,,,,,,,
"tempo bench",2,3,"115","kgs","","secondary,topset","16/04/2024, 13:20:22","00:04:34.7",0.30,202,0.46,137,0.668,,,,,,,,,,,,,,,,,,
"tempo bench",2,4,"115","kgs","","secondary,topset","16/04/2024, 13:20:22","00:04:34.7",0.33,222,0.50,160,0.665,,,,,,,,,,,,,,,,,,
"tempo bench",3,1,"115","kgs","","tertiary,topset","16/04/2024, 13:20:22","00:06:12.0",0.31,186,0.50,119,0.606,,,,,,,,,,,,,,,,,,
"tempo bench",3,2,"115","kgs","","tertiary,topset","16/04/2024, 13:20:22","00:06:12.0",0.28,198,0.45,113,0.722,,,,,,,,,,,,,,,,,,
"tempo bench",3,3,"115","kgs","","tertiary,topset","16/04/2024, 13:20:22","00:06:12.0",0.29,216,0.44,157,0.744,,,,,,,,,,,,,,,,,,
"tempo bench",3,4,"115","kgs","","tertiary,topset","16/04/2024, 13:20:22","00:06:12.0",0.33,207,0.49,143,0.636,,,,,,,,,,,,,,,,,,
"deadlift",1,1,"170","kgs","","secondary,warmup","16/04/2024, 13:20:22","00:14:27.7",0.30,390,0.74,206,1.278,,,,,,,,,,,,,,,,,,
"deadlift",1,2,"170","kgs","","secondary,warmup","16/04/2024, 13:20:22","00:14:27.7",0.32,391,0.78,211,1.217,,,,,,,,,,,,,,,,,,
"deadlift",2,1,"220","kgs","","secondary,lwu","16/04/2024, 13:20:22","00:03:58.6",0.23,396,0.64,229,1.719,,,,,,,,,,,,,,,,,,
"deadlift (pause)",1,1,"240","kgs","6","secondary,topset","16/04/2024, 13:20:22","00:02:57.6",0.18,395,0.56,249,2.156,,,,,,,,,,,,,,,,,,
"deadlift (pause)",1,2,"240","kgs","6","secondary,topset","16/04/2024, 13:20:22","00:02:57.6",0.26,307,0.63,160,1.172,,,,,,,,,,,,,,,,,,
"deadlift",1,1,"210","kgs","","secondary,backdown","16/04/2024, 13:20:22","00:07:15.6",0.26,393,0.67,219,1.528,,,,,,,,,,,,,,,,,,
"deadlift",1,2,"210","kgs","","secondary,backdown","16/04/2024, 13:20:22","00:07:15.6",0.26,379,0.67,215,1.462,,,,,,,,,,,,,,,,,,
"deadlift",1,3,"210","kgs","","secondary,backdown","16/04/2024, 13:20:22","00:07:15.6",0.26,374,0.70,216,1.429,,,,,,,,,,,,,,,,,,
"deadlift",1,4,"210","kgs","","secondary,backdown","16/04/2024, 13:20:22","00:07:15.6",0.33,361,0.71,221,1.107,,,,,,,,,,,,,,,,,,
"deadlift",1,5,"210","kgs","","secondary,backdown","16/04/2024, 13:20:22","00:07:15.6",0.27,381,0.70,209,1.435,,,,,,,,,,,,,,,,,,
"deadlift",1,6,"210","kgs","","secondary,backdown","16/04/2024, 13:20:22","00:07:15.6",0.24,377,0.70,222,1.578,,,,,,,,,,,,,,,,,,
null,1,1,null,"kgs","","","18/04/2024, 16:02:57","00:00:00",0.61,593,0.94,426,0.966,,,,,,,,,,,,,,,,,,
null,1,2,null,"kgs","","","18/04/2024, 16:02:57","00:00:00",0.67,656,1.02,471,0.982,,,,,,,,,,,,,,,,,,
null,1,3,null,"kgs","","","18/04/2024, 16:02:57","00:00:00",0.65,656,0.92,515,1.005,,,,,,,,,,,,,,,,,,
"squat",1,1,"160","kgs","","primer,topset","18/04/2024, 16:02:57","00:07:25.2",0.65,706,0.89,533,1.085,,,,,,,,,,,,,,,,,,
null,1,1,null,"kgs","","","18/04/2024, 16:02:57","00:03:54.1",0.66,629,1.02,473,0.955,,,,,,,,,,,,,,,,,,
null,1,2,null,"kgs","","","18/04/2024, 16:02:57","00:03:54.1",0.65,662,0.96,516,1.026,,,,,,,,,,,,,,,,,,
null,1,3,null,"kgs","","","18/04/2024, 16:02:57","00:03:54.1",0.64,687,0.95,553,1.072,,,,,,,,,,,,,,,,,,
null,1,1,null,"kgs","","","18/04/2024, 16:02:57","00:04:59.6",0.66,640,1.05,493,0.976,,,,,,,,,,,,,,,,,,
null,1,2,null,"kgs","","","18/04/2024, 16:02:57","00:04:59.6",0.68,693,0.97,546,1.021,,,,,,,,,,,,,,,,,,
null,1,3,null,"kgs","","","18/04/2024, 16:02:57","00:04:59.6",0.68,694,0.95,554,1.028,,,,,,,,,,,,,,,,,,
"spoto bench",1,1,"115","kgs","","topset,primer","18/04/2024, 16:02:57","00:11:17.3",0.13,180,0.37,84,1.424,,,,,,,,,,,,,,,,,,
"spoto bench",1,2,"115","kgs","","topset,primer","18/04/2024, 16:02:57","00:11:17.3",0.27,202,0.43,137,0.765,,,,,,,,,,,,,,,,,,
"spoto bench",1,3,"115","kgs","","topset,primer","18/04/2024, 16:02:57","00:11:17.3",0.32,257,0.54,179,0.816,,,,,,,,,,,,,,,,,,
"spoto bench",1,4,"115","kgs","","topset,primer","18/04/2024, 16:02:57","00:11:17.3",0.34,230,0.55,170,0.682,,,,,,,,,,,,,,,,,,
"spoto bench",2,1,"115","kgs","","primer,topset","18/04/2024, 16:02:57","00:02:36.4",0.25,183,0.40,127,0.734,,,,,,,,,,,,,,,,,,
"spoto bench",2,2,"115","kgs","","primer,topset","18/04/2024, 16:02:57","00:02:36.4",0.26,220,0.45,152,0.838,,,,,,,,,,,,,,,,,,
"spoto bench",2,3,"115","kgs","","primer,topset","18/04/2024, 16:02:57","00:02:36.4",0.28,193,0.45,136,0.693,,,,,,,,,,,,,,,,,,
"spoto bench",3,1,"115","kgs","","primer,topset","18/04/2024, 16:02:57","00:03:42.5",0.26,183,0.43,134,0.709,,,,,,,,,,,,,,,,,,
"spoto bench",3,2,"115","kgs","","primer,topset","18/04/2024, 16:02:57","00:03:42.5",0.23,211,0.48,145,0.931,,,,,,,,,,,,,,,,,,
"spoto bench",3,3,"115","kgs","","primer,topset","18/04/2024, 16:02:57","00:03:42.5",0.29,181,0.48,116,0.619,,,,,,,,,,,,,,,,,,
"squat",1,1,"120","kgs","","","20/04/2024, 11:58:26","00:00:00",0.54,612,0.82,471,1.135,,,,,,,,,,,,,,,,,,
"squat",1,2,"120","kgs","","","20/04/2024, 11:58:26","00:00:00",0.58,654,0.82,522,1.12,,,,,,,,,,,,,,,,,,
"squat",2,1,"200","kgs","","primary,warmup","20/04/2024, 11:58:26","00:06:11.9",0.46,624,0.71,514,1.371,,,,,,,,,,,,,,,,,,
"squat",3,1,"220","kgs","","primary,lwu","20/04/2024, 11:58:26","00:08:51.8",0.36,616,0.59,530,1.701,,,,,,,,,,,,,,,,,,
"squat",4,1,"235","kgs","","primary,topset","20/04/2024, 11:58:26","00:08:16.7",0.29,599,0.66,522,2.038,,,,,,,,,,,,,,,,,,
"bench",1,1,"120","kgs","","primary,warmup","20/04/2024, 11:58:26","01:16:38.6",0.27,218,0.43,163,0.805,,,,,,,,,,,,,,,,,,
"bench",1,2,"120","kgs","","primary,warmup","20/04/2024, 11:58:26","01:16:38.6",0.31,247,0.47,166,0.8,,,,,,,,,,,,,,,,,,
"bench",1,3,"120","kgs","","primary,warmup","20/04/2024, 11:58:26","01:16:38.6",0.31,244,0.47,142,0.799,,,,,,,,,,,,,,,,,,
"bench",1,4,"120","kgs","","primary,warmup","20/04/2024, 11:58:26","01:16:38.6",0.19,276,0.42,115,1.432,,,,,,,,,,,,,,,,,,
"bench",2,1,"140","kgs","","primary,warmup","20/04/2024, 11:58:26","00:05:17.9",0.20,220,0.37,160,1.075,,,,,,,,,,,,,,,,,,
null,1,1,null,"kgs","","","20/04/2024, 11:58:26","00:04:19.1",0.60,713,0.98,299,1.194,,,,,,,,,,,,,,,,,,
null,1,1,null,"kgs","","","20/04/2024, 11:58:26","00:00:31.8",0.22,207,0.33,156,0.962,,,,,,,,,,,,,,,,,,
null,1,1,null,"kgs","","","20/04/2024, 11:58:26","00:05:30.3",0.54,762,0.98,390,1.421,,,,,,,,,,,,,,,,,,
"bench",1,1,"162.5","kgs","","primary,warmup","20/04/2024, 11:58:26","00:00:35.8",0.15,211,0.26,146,1.399,,,,,,,,,,,,,,,,,,
"deadlift",1,1,"170","kgs","","primary,topset","20/04/2024, 11:58:26","00:09:10.4",0.15,215,0.20,133,1.423,,,,,,,,,,,,,,,,,,
null,1,1,null,"kgs","","","20/04/2024, 11:58:26","00:06:00.8",0.15,134,0.29,53,0.913,,,,,,,,,,,,,,,,,,
null,1,1,null,"kgs","","","20/04/2024, 11:58:26","00:00:42.3",0.19,229,0.30,111,1.222,,,,,,,,,,,,,,,,,,
null,1,2,null,"kgs","","","20/04/2024, 11:58:26","00:00:42.3",0.24,247,0.38,127,1.02,,,,,,,,,,,,,,,,,,
null,1,3,null,"kgs","","","20/04/2024, 11:58:26","00:00:42.3",0.21,245,0.39,122,1.158,,,,,,,,,,,,,,,,,,
null,1,1,null,"kgs","","","22/04/2024, 17:16:20","00:00:00",0.84,1061,1.55,477,1.263,,,,,,,,,,,,,,,,,,
"squat",1,1,"120","kgs","","secondary,warmup","22/04/2024, 17:16:20","00:01:02.6",0.66,611,1.10,456,0.919,,,,,,,,,,,,,,,,,,
"squat",1,2,"120","kgs","","secondary,warmup","22/04/2024, 17:16:20","00:01:02.6",0.70,668,1.11,505,0.955,,,,,,,,,,,,,,,,,,
"squat",1,3,"120","kgs","","secondary,warmup","22/04/2024, 17:16:20","00:01:02.6",0.70,674,1.06,507,0.964,,,,,,,,,,,,,,,,,,
"squat",2,1,"160","kgs","","lwu,secondary","22/04/2024, 17:16:20","00:02:03.4",0.63,668,1.03,519,1.066,,,,,,,,,,,,,,,,,,
"squat",2,2,"160","kgs","","lwu,secondary","22/04/2024, 17:16:20","00:02:03.4",0.62,687,0.99,537,1.112,,,,,,,,,,,,,,,,,,
"squat (pause)",1,1,"185","kgs","","secondary,topset","22/04/2024, 17:16:20","00:04:45.5",0.49,606,0.90,469,1.241,,,,,,,,,,,,,,,,,,
"squat (pause)",1,2,"185","kgs","","secondary,topset","22/04/2024, 17:16:20","00:04:45.5",0.46,634,0.91,536,1.38,,,,,,,,,,,,,,,,,,
null,1,1,null,"kgs","","","22/04/2024, 17:16:20","00:04:30.8",0.63,1144,1.39,409,1.823,,,,,,,,,,,,,,,,,,
null,1,1,null,"kgs","","","22/04/2024, 17:16:20","00:00:53.5",0.60,646,0.96,514,1.077,,,,,,,,,,,,,,,,,,
null,1,2,null,"kgs","","","22/04/2024, 17:16:20","00:00:53.5",0.63,692,0.94,583,1.091,,,,,,,,,,,,,,,,,,
null,1,3,null,"kgs","","","22/04/2024, 17:16:20","00:00:53.5",0.60,671,0.89,550,1.122,,,,,,,,,,,,,,,,,,
null,1,4,null,"kgs","","","22/04/2024, 17:16:20","00:00:53.5",0.58,673,0.92,540,1.162,,,,,,,,,,,,,,,,,,
null,1,5,null,"kgs","","","22/04/2024, 17:16:20","00:00:53.5",0.57,674,0.85,537,1.189,,,,,,,,,,,,,,,,,,
null,1,6,null,"kgs","","","22/04/2024, 17:16:20","00:00:53.5",0.61,692,0.94,550,1.128,,,,,,,,,,,,,,,,,,
null,1,1,null,"kgs","","","22/04/2024, 17:16:20","00:06:11.7",0.63,612,0.99,453,0.968,,,,,,,,,,,,,,,,,,
null,1,2,null,"kgs","","","22/04/2024, 17:16:20","00:06:11.7",0.63,648,0.96,512,1.022,,,,,,,,,,,,,,,,,,
null,1,3,null,"kgs","","","22/04/2024, 17:16:20","00:06:11.7",0.57,627,0.85,505,1.099,,,,,,,,,,,,,,,,,,
null,1,4,null,"kgs","","","22/04/2024, 17:16:20","00:06:11.7",0.58,675,0.93,533,1.159,,,,,,,,,,,,,,,,,,
null,1,5,null,"kgs","","","22/04/2024, 17:16:20","00:06:11.7",0.60,651,0.94,508,1.077,,,,,,,,,,,,,,,,,,
null,1,6,null,"kgs","","","22/04/2024, 17:16:20","00:06:11.7",0.61,662,0.91,532,1.084,,,,,,,,,,,,,,,,,,
null,1,1,null,"kgs","","","22/04/2024, 17:16:20","00:25:54.2",0.15,317,0.28,201,2.102,,,,,,,,,,,,,,,,,,
null,1,1,null,"kgs","","","22/04/2024, 17:16:20","00:02:21.6",0.57,781,1.37,514,1.365,,,,,,,,,,,,,,,,,,
null,1,1,null,"kgs","","","22/04/2024, 17:16:20","00:01:37.1",0.22,239,0.36,169,1.08,,,,,,,,,,,,,,,,,,
null,1,2,null,"kgs","","","22/04/2024, 17:16:20","00:01:37.1",0.22,263,0.37,179,1.211,,,,,,,,,,,,,,,,,,
null,1,3,null,"kgs","","","22/04/2024, 17:16:20","00:01:37.1",0.28,255,0.44,177,0.901,,,,,,,,,,,,,,,,,,
null,1,4,null,"kgs","","","22/04/2024, 17:16:20","00:01:37.1",0.27,253,0.42,175,0.939,,,,,,,,,,,,,,,,,,
"deadlift",1,1,"170","kgs","","warmup,secondary","23/04/2024, 13:51:08","00:00:00",0.26,399,0.72,229,1.558,,,,,,,,,,,,,,,,,,
"deadlift",1,2,"170","kgs","","warmup,secondary","23/04/2024, 13:51:08","00:00:00",0.24,376,0.68,267,1.586,,,,,,,,,,,,,,,,,,
"deadlift",2,1,"220","kgs","","secondary,lwu","23/04/2024, 13:51:08","00:03:28.8",0.23,393,0.60,216,1.694,,,,,,,,,,,,,,,,,,
"deadlift (pause)",1,1,"235","kgs","","secondary,topset","23/04/2024, 13:51:08","00:05:01.0",0.16,397,0.51,221,2.456,,,,,,,,,,,,,,,,,,
"deadlift (pause)",1,2,"235","kgs","","secondary,topset","23/04/2024, 13:51:08","00:05:01.0",0.17,373,0.56,232,2.253,,,,,,,,,,,,,,,,,,
"deadlift",1,1,"210","kgs","","secondary,backdown","23/04/2024, 13:51:08","00:06:38.0",0.21,384,0.54,219,1.815,,,,,,,,,,,,,,,,,,
"deadlift",1,2,"210","kgs","","secondary,backdown","23/04/2024, 13:51:08","00:06:38.0",0.24,367,0.59,207,1.533,,,,,,,,,,,,,,,,,,
"deadlift",1,3,"210","kgs","","secondary,backdown","23/04/2024, 13:51:08","00:06:38.0",0.28,359,0.64,219,1.302,,,,,,,,,,,,,,,,,,
"deadlift",1,4,"210","kgs","","secondary,backdown","23/04/2024, 13:51:08","00:06:38.0",0.24,368,0.60,213,1.514,,,,,,,,,,,,,,,,,,
"deadlift",1,5,"210","kgs","","secondary,backdown","23/04/2024, 13:51:08","00:06:38.0",0.25,369,0.65,230,1.488,,,,,,,,,,,,,,,,,,
"deadlift",1,6,"210","kgs","","secondary,backdown","23/04/2024, 13:51:08","00:06:38.0",0.23,371,0.60,213,1.582,,,,,,,,,,,,,,,,,,
null,1,1,null,"kgs","","","25/04/2024, 16:38:08","00:00:00",0.66,622,1.03,446,0.941,,,,,,,,,,,,,,,,,,
null,1,2,null,"kgs","","","25/04/2024, 16:38:08","00:00:00",0.67,622,0.99,482,0.924,,,,,,,,,,,,,,,,,,
null,1,3,null,"kgs","","","25/04/2024, 16:38:08","00:00:00",0.71,675,1.01,501,0.949,,,,,,,,,,,,,,,,,,
"squat",1,1,"170","kgs","","primer,topset","25/04/2024, 16:38:08","00:03:54.0",0.55,614,0.84,451,1.114,,,,,,,,,,,,,,,,,,
"squat",2,1,"150","kgs","","primer,backdown","25/04/2024, 16:38:08","00:04:48.9",0.62,615,0.92,422,0.997,,,,,,,,,,,,,,,,,,
"squat",2,2,"150","kgs","","primer,backdown","25/04/2024, 16:38:08","00:04:48.9",0.65,648,0.92,503,1.004,,,,,,,,,,,,,,,,,,
"squat",2,3,"150","kgs","","primer,backdown","25/04/2024, 16:38:08","00:04:48.9",0.70,680,1.00,530,0.972,,,,,,,,,,,,,,,,,,
"squat",3,1,"150","kgs","","backdown,primer","25/04/2024, 16:38:08","00:03:36.7",0.65,637,0.97,471,0.979,,,,,,,,,,,,,,,,,,
"squat",3,2,"150","kgs","","backdown,primer","25/04/2024, 16:38:08","00:03:36.7",0.62,646,0.92,496,1.038,,,,,,,,,,,,,,,,,,
"squat",3,3,"150","kgs","","backdown,primer","25/04/2024, 16:38:08","00:03:36.7",0.65,664,0.90,514,1.026,,,,,,,,,,,,,,,,,,
null,1,1,null,"kgs","","","25/04/2024, 16:38:08","00:12:36.9",0.26,199,0.46,127,0.76,,,,,,,,,,,,,,,,,,
null,1,2,null,"kgs","","","25/04/2024, 16:38:08","00:12:36.9",0.32,208,0.54,134,0.656,,,,,,,,,,,,,,,,,,
null,1,3,null,"kgs","","","25/04/2024, 16:38:08","00:12:36.9",0.26,213,0.52,147,0.832,,,,,,,,,,,,,,,,,,
null,1,1,null,"kgs","","","30/04/2024, 17:04:22","00:00:00",0.52,613,0.90,482,1.17,,,,,,,,,,,,,,,,,,
null,1,2,null,"kgs","","","30/04/2024, 17:04:22","00:00:00",0.49,608,0.87,484,1.238,,,,,,,,,,,,,,,,,,
null,1,3,null,"kgs","","","30/04/2024, 17:04:22","00:00:00",0.47,611,0.83,500,1.309,,,,,,,,,,,,,,,,,,
null,1,1,null,"kgs","","","30/04/2024, 17:04:22","00:17:11.2",0.64,747,1.38,344,1.165,,,,,,,,,,,,,,,,,,
null,1,1,null,"kgs","","","30/04/2024, 17:04:22","00:01:26.7",0.23,193,0.40,98,0.854,,,,,,,,,,,,,,,,,,
null,1,1,null,"kgs","","","01/05/2024, 15:33:19","00:00:00",1.04,807,2.03,412,0.772,,,,,,,,,,,,,,,,,,
"bench",1,1,"120","kgs","","lwu,tertiary","01/05/2024, 15:33:19","00:01:05.0",0.24,186,0.38,121,0.768,,,,,,,,,,,,,,,,,,
"bench",1,2,"120","kgs","","lwu,tertiary","01/05/2024, 15:33:19","00:01:05.0",0.19,214,0.32,87,1.126,,,,,,,,,,,,,,,,,,
"bench",2,1,"130","kgs","","tertiary,topset","01/05/2024, 15:33:19","00:04:31.8",0.21,210,0.30,165,0.99,,,,,,,,,,,,,,,,,,
"bench",2,2,"130","kgs","","tertiary,topset","01/05/2024, 15:33:19","00:04:31.8",0.20,239,0.34,107,1.195,,,,,,,,,,,,,,,,,,
"bench",2,3,"130","kgs","","tertiary,topset","01/05/2024, 15:33:19","00:04:31.8",0.21,217,0.33,174,1.044,,,,,,,,,,,,,,,,,,
"cg bench",1,1,"110","kgs","","backdown,tertiary","01/05/2024, 15:33:19","00:05:21.4",0.25,235,0.39,190,0.939,,,,,,,,,,,,,,,,,,
"cg bench",1,2,"110","kgs","","backdown,tertiary","01/05/2024, 15:33:19","00:05:21.4",0.28,241,0.38,114,0.875,,,,,,,,,,,,,,,,,,
"cg bench",1,3,"110","kgs","","backdown,tertiary","01/05/2024, 15:33:19","00:05:21.4",0.28,260,0.43,186,0.926,,,,,,,,,,,,,,,,,,
"cg bench",1,4,"110","kgs","","backdown,tertiary","01/05/2024, 15:33:19","00:05:21.4",0.30,273,0.45,153,0.901,,,,,,,,,,,,,,,,,,
"cg bench",1,5,"110","kgs","","backdown,tertiary","01/05/2024, 15:33:19","00:05:21.4",0.24,269,0.39,199,1.096,,,,,,,,,,,,,,,,,,
null,1,1,null,"kgs","","","01/05/2024, 15:33:19","00:03:32.4",0.20,253,0.35,118,1.29,,,,,,,,,,,,,,,,,,
null,1,2,null,"kgs","","","01/05/2024, 15:33:19","00:03:32.4",0.27,256,0.38,114,0.962,,,,,,,,,,,,,,,,,,
null,1,3,null,"kgs","","","01/05/2024, 15:33:19","00:03:32.4",0.22,285,0.35,96,1.289,,,,,,,,,,,,,,,,,,
null,1,4,null,"kgs","","","01/05/2024, 15:33:19","00:03:32.4",0.21,245,0.34,114,1.182,,,,,,,,,,,,,,,,,,
null,1,1,null,"kgs","","","01/05/2024, 15:33:19","00:18:27.7",0.26,390,0.73,230,1.498,,,,,,,,,,,,,,,,,,
null,1,2,null,"kgs","","","01/05/2024, 15:33:19","00:18:27.7",0.29,395,0.75,234,1.346,,,,,,,,,,,,,,,,,,
"deadlift (pause)",1,1,"210","kgs","","secondary,topset","01/05/2024, 15:33:19","00:06:14.7",0.18,391,0.66,275,2.114,,,,,,,,,,,,,,,,,,
"deadlift (pause)",1,2,"210","kgs","","secondary,topset","01/05/2024, 15:33:19","00:06:14.7",0.22,369,0.68,259,1.696,,,,,,,,,,,,,,,,,,
"deadlift (pause)",1,3,"210","kgs","","secondary,topset","01/05/2024, 15:33:19","00:06:14.7",0.23,370,0.70,212,1.587,,,,,,,,,,,,,,,,,,
"deadlift (pause)",1,4,"210","kgs","","secondary,topset","01/05/2024, 15:33:19","00:06:14.7",0.20,370,0.73,213,1.869,,,,,,,,,,,,,,,,,,
null,1,1,null,"kgs","","","01/05/2024, 15:33:19","00:05:17.6",0.25,382,0.65,232,1.547,,,,,,,,,,,,,,,,,,
null,1,2,null,"kgs","","","01/05/2024, 15:33:19","00:05:17.6",0.29,380,0.63,218,1.296,,,,,,,,,,,,,,,,,,
null,1,3,null,"kgs","","","01/05/2024, 15:33:19","00:05:17.6",0.29,378,0.70,233,1.321,,,,,,,,,,,,,,,,,,
null,1,4,null,"kgs","","","01/05/2024, 15:33:19","00:05:17.6",0.31,376,0.73,228,1.224,,,,,,,,,,,,,,,,,,
null,1,5,null,"kgs","","","01/05/2024, 15:33:19","00:05:17.6",0.30,369,0.72,205,1.237,,,,,,,,,,,,,,,,,,
null,1,6,null,"kgs","","","01/05/2024, 15:33:19","00:05:17.6",0.24,386,0.67,203,1.617,,,,,,,,,,,,,,,,,,
null,1,1,null,"kgs","","","01/05/2024, 15:33:19","00:02:02.5",0.11,239,0.20,233,2.131,,,,,,,,,,,,,,,,,,
"deadlift",1,1,"170","kgs","","primary,warmup","04/05/2024, 13:30:05","00:00:00",0.27,394,0.73,261,1.443,,,,,,,,,,,,,,,,,,
"deadlift",1,2,"170","kgs","","primary,warmup","04/05/2024, 13:30:05","00:00:00",0.34,395,0.79,214,1.142,,,,,,,,,,,,,,,,,,
"deadlift",2,1,"220","kgs","","primary,lwu","04/05/2024, 13:30:05","00:02:56.5",0.23,389,0.59,221,1.712,,,,,,,,,,,,,,,,,,
"deadlift",3,1,"235","kgs","","primary,topset","04/05/2024, 13:30:05","00:09:04.0",0.22,395,0.63,215,1.812,,,,,,,,,,,,,,,,,,
"deadlift",3,2,"235","kgs","","primary,topset","04/05/2024, 13:30:05","00:09:04.0",0.24,372,0.62,202,1.563,,,,,,,,,,,,,,,,,,
"deadlift",3,3,"235","kgs","","primary,topset","04/05/2024, 13:30:05","00:09:04.0",0.24,374,0.64,219,1.585,,,,,,,,,,,,,,,,,,
"deadlift (pause)",1,1,"175","kgs","","topset,secondary","06/05/2024, 13:03:12","00:00:00",0.55,829,1.36,264,1.495,,,,,,,,,,,,,,,,,,
"deadlift (pause)",1,2,"175","kgs","","topset,secondary","06/05/2024, 13:03:12","00:00:00",0.17,173,0.30,82,1.048,,,,,,,,,,,,,,,,,,
"deadlift (pause)",1,3,"175","kgs","","topset,secondary","06/05/2024, 13:03:12","00:00:00",0.17,195,0.25,76,1.138,,,,,,,,,,,,,,,,,,
null,1,1,null,"kgs","","","06/05/2024, 13:03:12","00:01:15.5",0.59,570,0.99,404,0.971,,,,,,,,,,,,,,,,,,
null,1,2,null,"kgs","","","06/05/2024, 13:03:12","00:01:15.5",0.65,605,0.96,457,0.935,,,,,,,,,,,,,,,,,,
null,1,3,null,"kgs","","","06/05/2024, 13:03:12","00:01:15.5",0.65,631,0.94,477,0.975,,,,,,,,,,,,,,,,,,
null,1,1,null,"kgs","","","06/05/2024, 13:03:12","00:02:02.9",0.54,1148,1.61,450,2.108,,,,,,,,,,,,,,,,,,
null,1,1,null,"kgs","","","06/05/2024, 13:03:12","00:02:35.8",0.45,577,0.80,454,1.286,,,,,,,,,,,,,,,,,,
null,1,2,null,"kgs","","","06/05/2024, 13:03:12","00:02:35.8",0.42,593,0.77,472,1.399,,,,,,,,,,,,,,,,,,
null,1,3,null,"kgs","","","06/05/2024, 13:03:12","00:02:35.8",0.43,606,0.77,476,1.419,,,,,,,,,,,,,,,,,,
"bench",1,1,"120","kgs","","secondary,warmup","06/05/2024, 13:03:12","00:31:40.5",0.17,280,0.38,163,1.655,,,,,,,,,,,,,,,,,,
"bench",2,1,"130","kgs","","lwu,secondary","06/05/2024, 13:03:12","00:04:27.0",0.16,289,0.28,168,1.759,,,,,,,,,,,,,,,,,,
